ticket_id,artist_event,event_type,venue,event_date,purchase_date,customer_region,ticket_type,price_uzs,quantity,payment,status,rating,revenue
TK-11557,jasur umirov,konsert,uzbekiston konsert zali,2026-04-12,2026-02-22,farg'ona,vip,454840,3,naqd,yakunlangan,4.8,1364520
TK-10134,doniyor otajonov,konsert,uzbekiston konsert zali,03.05.2026,2026-04-12,farg'ona,standart,144969,4,karta,yakunlangan,3.7,579876
TK-11639,doniyor otajonov,konsert,uzbekiston konsert zali,03.05.2026,2026-03-25,qashqadaryo,standart,161021,1,qr,yakunlangan,4.5,161021
TK-11498,sevinch mominova,konsert,humo arena,2026-03-15,2026-01-29,xorazm,vip,477421,1,karta,yakunlangan,4.0,477421
TK-11399,pakhtakor vs lokomotiv,futbol,milliy stadion,10.05.2026,2026-03-31,namangan,standart,130849,2,karta,yakunlangan,4.7,261698
TK-10471,jasur umirov,konsert,uzbekiston konsert zali,12.04.2026,2026-02-24,toshkent,fan,102771,2,qr,qaytarilgan,,205542
TK-11513,doniyor otajonov,konsert,uzbekiston konsert zali,2026-05-03,2026-04-26,andijon,vip,451283,2,naqd,kutilmoqda,,902566
TK-12274,pakhtakor vs bunyodkor,futbol,milliy stadion,2026-04-05,2026-03-10,qashqadaryo,fan,93002,3,qr,yakunlangan,4.6,279006
TK-10044,pakhtakor vs lokomotiv,futbol,milliy stadion,10.05.2026,2026-03-26,samarqand,fan,80956,1,qr,yakunlangan,4.9,80956
TK-11391,doniyor otajonov,konsert,uzbekiston konsert zali,03.05.2026,2026-03-11,namangan,standart,159184,1,qr,kutilmoqda,,159184
TK-10056,navruz gala shou,konsert,humo arena,21.03.2026,2026-02-11,xorazm,standart,178979,2,qr,qaytarilgan,,357958
TK-12462,sevinch mominova,konsert,humo arena,2026-03-15,2026-01-24,namangan,vip,446172,2,karta,qaytarilgan,,892344
TK-10324,ulugbek rahmatullayev,konsert,humo arena,22.03.2026,2026-03-08,xorazm,vip,447602,2,naqd,yakunlangan,5.0,895204
TK-11860,pakhtakor vs lokomotiv,futbol,milliy stadion,2026-05-10,2026-04-16,samarqand,standart,155846,1,naqd,yakunlangan,4.1,155846
TK-11134,ulugbek rahmatullayev,konsert,humo arena,2026-03-22,2026-02-05,namangan,vip,461043,3,qr,yakunlangan,3.6,1383129
TK-10602,pakhtakor vs bunyodkor,futbol,milliy stadion,05.04.2026,2026-03-07,xorazm,vip,463599,1,qr,kutilmoqda,,463599
TK-12330,ulugbek rahmatullayev,konsert,humo arena,2026-03-22,2026-03-05,qashqadaryo,vip,463695,3,karta,yakunlangan,4.7,1391085
TK-10259,doniyor otajonov,konsert,uzbekiston konsert zali,2026-05-03,2026-04-30,toshkent,vip,469526,3,karta,yakunlangan,4.3,1408578
