 Ticket ID,Artist / Event ,Event Type,Venue,Event Date,Purchase Date,Customer Region,Ticket Type,Price (UZS),Quantity, Payment,Status,Rating
TK-11557,Jasur Umirov,Konsert,Uzbekiston Konsert Zali,2026-04-12,2026-02-22,Farg'ona,VIP,454840,3,naqd,YAKUNLANGAN,4.8
TK-10134,Doniyor Otajonov,Konsert,Uzbekiston Konsert Zali,03.05.2026,2026-04-12,Farg'ona,Standart,144969,4,karta,yakunlangan,3.7
TK-11639,Doniyor Otajonov,konsert,Uzbekiston Konsert Zali,03.05.2026,2026-03-25,Qashqadaryo,Standart,161021,1,qr,yakunlangan,4.5
TK-11498,Sevinch Mominova,Konsert,Humo Arena,2026-03-15,2026-01-29,Xorazm,VIP,477421,1,karta,yakunlangan,4.0
TK-11399,Pakhtakor vs Lokomotiv,Futbol,Milliy Stadion,10.05.2026,2026-03-31,Namangan,Standart,130849,2,karta,yakunlangan,4.7
TK-10471,Jasur Umirov,Konsert,Uzbekiston Konsert Zali,12.04.2026,2026-02-24,Toshkent,Fan,102771,2,qr,qaytarilgan,
TK-11513,Doniyor Otajonov,Konsert ,Uzbekiston Konsert Zali,2026-05-03,2026-04-26,Andijon,VIP,451 283 so'm,2,naqd,KUTILMOQDA,
TK-12274,Pakhtakor vs Bunyodkor,Futbol,Milliy Stadion,2026-04-05,2026-03-10,Qashqadaryo,Fan,93002,3,qr,yakunlangan,4.6
TK-10044,Pakhtakor vs Lokomotiv,Futbol,Milliy Stadion,10.05.2026,2026-03-26,Samarqand,Fan,80956,1,qr,yakunlangan,4.9
TK-11391,Doniyor Otajonov,Konsert,Uzbekiston Konsert Zali,03.05.2026,2026-03-11,Namangan,Standart,159 184 so'm,1,qr,KUTILMOQDA,
TK-10056,Navruz Gala Shou,Konsert,Humo Arena,21.03.2026,2026-02-11,Xorazm,Standart,178979,2,qr,qaytarilgan,
TK-12462,Sevinch Mominova,Konsert,Humo Arena,2026-03-15,2026-01-24,Namangan,VIP,446172,2,karta,qaytarilgan,
TK-10324,Ulug'bek Rahmatullayev,Konsert,Humo Arena,22.03.2026,2026-03-08,Xorazm,VIP,447602,2,naqd,yakunlangan,5.0
TK-11657,Jasur Umirov,Konsert,Uzbekiston Konsert Zali,2026-04-12,2026-02-23,Buxoro,Fan,-150000,1,naqd,yakunlangan,3.5
TK-11860,Pakhtakor vs Lokomotiv,Futbol,Milliy Stadion,2026-05-10,2026-04-16,Samarqand,Standart,155846,1,naqd,YAKUNLANGAN,4.1
TK-11134,Ulug'bek Rahmatullayev,Konsert ,Humo Arena,2026-03-22,2026-02-05,Namangan,VIP,461043,3,qr,yakunlangan,3.6
TK-10602,Pakhtakor vs Bunyodkor,Futbol,Milliy Stadion,05.04.2026,2026-03-07,Xorazm,VIP,463599,1,qr,kutilmoqda,
TK-12330,Ulug'bek Rahmatullayev,Konsert,Humo Arena,2026-03-22,2026-03-05,Qashqadaryo,VIP,463695,3,karta,yakunlangan,4.7
TK-10259,Doniyor Otajonov,Konsert,Uzbekiston Konsert Zali,2026-05-03,2026-04-30,Toshkent,VIP,469 526 so'm,3,karta,YAKUNLANGAN,4.3
TK-11619,Pakhtakor vs Bunyodkor,Futbol,Milliy Stadion,2026-04-05,2026-03-18,Samarqand,Fan,85744,4,karta,yakunlangan,4.3
TK-10188,Navruz Gala Shou,Konsert,Humo Arena,2026-03-21,2026-03-17,Samarqand,Fan,106 034 so'm,3,naqd,yakunlangan,4.0
TK-10212,Shaxlo Ismoilova,Konsert ,Humo Arena,19.04.2026,2026-03-14,Buxoro,Fan,106645,2,qr,yakunlangan,3.7
